review_order,open_id,first_year,last_0101_year,year_count,latest_any_panel_year,identity_status,manual_classification,likely_entity_candidate,candidate_status,candidate_evidence_years,candidate_kedi_statuses,latest_panel_count,latest_row_count,latest_nonzero_measure_count,latest_department_status,department_examples,safe_join_action,evidence_summary
39,2542345285,2009,2010,2,2011,unmatched,confirmed_identity_closed_school_residual_id,동아대학교 정책과학대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,2,57,0,폐과,사회복지학전공|지방자치행정전공|행정학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 동아대학교 정책과학대학원으로 확정했다. KEDI 정책과학대학원 폐교 0행과 두 연도가 일치하며 행정·지방자치 학과서명이 언론홍보대학원 후보를 배제. 연도별 띄어쓰기 변형은 동일 기관으로 정규화. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
40,3386667668,2009,2010,2,2012,unmatched,confirmed_identity_closed_name_change_predecessor_id,삼척대학교방재기술전문대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,1,200,0,표지 없음,광해?지반방재전공|광해ㆍ지반방재전공|도시?환경방재전공|도시ㆍ환경방재전공|방재설비전공|재해방재전공,link_successor_history_keep_predecessor_open_id_separate,수동 전수검토에서 삼척대학교방재기술전문대학원으로 확정했다. KEDI 본교 폐교 0행이 두 연도 일치하고 강원대학교 공식 연혁이 삼척대학교 방재기술대학원→강원대학교 방재기술전문대학원 계보와 4개 전공을 확인. 제2캠퍼스 OpenID 7737709581과 구분. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
41,3440395534,2009,2010,2,2011,unmatched,confirmed_identity_closed_school_residual_id,덕성여자대학교 정보통신대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,4,16,0,폐과,인터넷정보공학전공|정보통신전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 덕성여자대학교 정보통신대학원으로 확정했다. KEDI의 동일 지역 폐교 0행 세 후보 중 정보통신 학과서명이 덕성여대 정보통신대학원을 유일하게 지시. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
42,3681159734,2009,2010,2,2011,unmatched,confirmed_identity_department_residual_id,영산대학교 TESOL 대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,2,19,11,폐과,TESOL전공,retain_historical_open_id_separately_no_auto_join,수동 전수검토에서 영산대학교 TESOL 대학원으로 확정했다. KEDI 제2캠퍼스 TESOL 대학원 행이 신설→기존으로 두 연도 위치·캠퍼스·핵심값과 일치. 후속 폐과 흔적 때문에 활성 기관 분석에서 제외. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
43,4089279294,2009,2010,2,2010,unmatched,confirmed_identity_closed_school_residual_id,선문대학교 산업정보통신대학원,confirmed_kedi_metric_location_and_department_context,2009|2010,폐교,17,187,51,신설|폐과,금속재료공학과|생산시스템공학과|응용화학과|전자통신공학과|정보통신학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2010년 졸업생 2명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 선문대학교 산업정보통신대학원 행과 핵심 수치가 일치한다. 금속재료공학과 등 5개 학과에서 신설·폐과 상태가 함께 관측된다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
44,6188584208,2009,2010,2,2011,unmatched,confirmed_identity_closed_school_residual_id,서경대학교사회과학대학원,confirmed_kedi_metric_location_and_department_context,2009|2010,폐교,2,10,0,폐과,청소년학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 졸업생 수가 2009~2010년 3·1명으로 KEDI와 일치한다. 같은 연도·지역·학교유형의 KEDI 서경대학교사회과학대학원 행과 핵심 수치가 일치한다. 청소년학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
45,7344788491,2009,2010,2,2010,unmatched,confirmed_identity_closed_name_change_predecessor_id,공주대학교교육정보대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,12,213,1,폐과,교육공학전공|교육방송전공|교육정보관리전공|멀티미디어교육매체전공|영상매체전공,retain_predecessor_open_id_separately_no_auto_join,수동 전수검토에서 공주대학교교육정보대학원으로 확정했다. KEDI 동일 대학원 폐교 0행이 두 연도 일치하고 학과서명은 후속 교육정보·사회복지대학원 계보와 부합. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
46,8878228843,2009,2010,2,2010,unmatched,confirmed_identity_closed_school_residual_id,안양대학교첨단산업기술대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,23,551,0,폐과,디지털국토.도시관리학과|부동산컨설팅학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 안양대학교첨단산업기술대학원으로 확정했다. KEDI 동일 대학원 폐교 0행이 두 연도 일치하고 안양대학교 공식 연혁이 첨단산업기술대학원의 부동산컨설팅학과 설치를 확인. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
47,9152388691,2017,2018,2,2020,unmatched,confirmed_identity_closed_school_residual_id,서울과학기술대학교(산업대학) 주택도시대학원,confirmed_kedi_residual_and_exact_department_signature,2017|2018,폐교|현재 주택도시대학원 동일 학과서명,2,39,0,폐과,건축환경?설비공학과|주택?건축디자인학과|주택도시개발?관리학과|주택도시건축공학과|주택도시경영학과,retain_historical_parent_type_open_id_separately_no_auto_join,"2018년 같은 지역 KEDI의 서울과학기술대학교(산업대학) 주택도시대학원 폐교 잔존 행과 대응하고, 5개 학과 집합은 확인 ID 8655836164의 주택도시대학원과 정확히 같다. 공식 홈페이지는 주택도시대학원이 2001년 설립되어 현재도 운영됨을 확인한다. 역사적 모체 유형 잔존 ID로 보존하고 확인 ID와 자동 병합하지 않는다."
48,9468469321,2009,2010,2,2011,unmatched,confirmed_identity_closed_name_change_predecessor_id,홍익대학교 국제경영대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,2,12,0,폐과,경영정보학전공|경영학전공|국제경영학전공|국제통상학전공|품질ㆍ환경경영전공,retain_predecessor_open_id_separately_no_auto_join,수동 전수검토에서 홍익대학교 국제경영대학원으로 확정했다. KEDI 국제경영대학원 폐교 0행이 두 연도 일치하고 학과서명은 후속 경영대학원과 정확히 일치하며 공식 연혁·학칙이 종전 국제경영대학원을 확인. 후속 경영대학원 OpenID 6283882558과 계보만 연결 가능. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
49,1139362752,2014,2014,1,2015,unmatched,confirmed_identity_closed_school_residual_id,한양대학교 도시융합개발대학원,confirmed_final_manual_review_identity,2014,기존|2014 공식 설치학과|2014 폐지 의결,2,11,5,기존,도시계획설계학과|도시공학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 한양대학교 도시융합개발대학원으로 확정했다. 2014년 도시공학과·도시계획설계학과는 공식 회의록의 도시융합개발대학원 설치학과와 정확히 일치한다. 같은 해 별도 OpenID의 도시대학원 학과집합과는 겹치지 않으며 공식 회의록은 도시융합개발대학원 폐지도 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
50,1400377094,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,상명대학교 디지털미디어대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,32,3238,93,폐과,게임학과|기술경영학과|디지털영상학과|디지털콘텐츠학과|뮤직테크놀로지학과|전자정부학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 16명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 상명대학교 디지털미디어대학원 행과 핵심 수치가 일치한다. 게임·디지털영상·디지털콘텐츠 등 6개 학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
51,1651128768,2010,2010,1,2010,unmatched,confirmed_identity_closed_campus_residual_id,한국폴리텍Ⅳ대학 제천캠퍼스,confirmed_final_graduation_department_and_official_closure,2010,폐교|2010-02 폐교,24,1684,109,폐과,메카트로닉스과|산업설비자동화과|자동차과|정보통신시스템과|컴퓨터응용기계과,retain_closed_campus_open_id_separately_no_successor_join,"2010년 EDSS에서 입학생·재적학생·교원·직원은 0이고 마지막 졸업생 68명(여성 3명)만 남아 있다. 메카트로닉스과·산업설비자동화과·자동차과·정보통신시스템과·컴퓨터응용기계과 등 5개 학과는 대학정보공시에서 모두 폐과로 표시된다. 국회예산정책처 자료는 한국폴리텍대학 구 제천캠퍼스가 2010년 2월 폐교했다고 명시하며, 한국폴리텍대학도 제천캠퍼스를 폐교 캠퍼스로 안내한다. 학적 관리처인 Ⅳ대학 대전캠퍼스와 후속 학교로 자동 병합하지 않는다."
52,1789836525,2009,2009,1,2009,unmatched,confirmed_identity_merger_residual_predecessor_id,한국정보통신대학교 경영전문대학원,confirmed_kedi_metric_and_official_kaist_merger,2009,폐교|2009-03-01 KAIST 통합,16,296,31,폐과,경영전공,link_kaist_merger_history_keep_predecessor_open_id_separate_no_metric_join,2009년 EDSS의 졸업생 11명과 경영전공 폐과 기록이 같은 지역 KEDI 한국정보통신대학교 경영전문대학원 폐교 행과 일치한다. KAIST 공식 연혁은 2009-03-01 한국정보통신학원(ICU·한국정보통신대학교) 통합을 확인한다. 통합 이력만 연결하고 이 OpenID의 실적은 별도 보존한다.
53,2031110882,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,남부대학교 태권도체육대학원,confirmed_final_manual_review_identity,2009,폐교|2009 동일연도 KEDI 문맥,5,74,0,표지 없음,,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 남부대학교 태권도체육대학원으로 확정했다. 2009년 광주 광산구 대학원 0활동 행이 같은 연도·지역·학교유형의 KEDI 남부대학교 태권도체육대학원 폐교 행과 유일한 문맥으로 대응한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
54,2299522757,2009,2009,1,2009,unmatched,confirmed_identity_historical_reorganization_predecessor_id,한국국제대학교 관광대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,19,559,10,폐과,관광경영학과|호텔외식경영학,retain_predecessor_open_id_separately_no_auto_join,수동 전수검토에서 한국국제대학교 관광대학원으로 확정했다. KEDI의 한국국제대학교 0행 세 후보 중 두 학과가 관광대학원을 직접 지시하고 후속 경영행정관광대학원에서 관광경영학과가 확인됨. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
55,2838729381,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,영산대학교(산업대) 부동산대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,28,752,26,폐과,부동산전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 3명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 영산대학교(산업대) 부동산대학원 행과 핵심 수치가 일치한다. 부동산전공은 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
56,3083711624,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,영산대학교 조리대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,20,264,18,폐과,조리학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 1명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 영산대학교 조리대학원 행과 핵심 수치가 일치한다. 조리학전공은 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
57,3571888148,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,국민대학교정보과학대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,19,315,0,폐과,경영정보전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 국민대학교정보과학대학원으로 확정했다. KEDI 동일 대학원 폐교 0행이 단독으로 핵심값과 일치하고 경영정보전공이 정보과학 계열에 부합. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
58,3987692773,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,인제대학교 첨단산업기술대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,17,347,15,폐과,기계공학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 2명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 인제대학교 첨단산업기술대학원 행과 핵심 수치가 일치한다. 기계공학전공은 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
59,4062185227,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,영산대학교 경영대학원,confirmed_final_manual_review_identity,2009,폐교|2009 동일연도 KEDI 문맥|공식 대학원 계보,11,287,1,표지 없음,경영학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 영산대학교 경영대학원으로 확정했다. 2009년 경영학전공과 동일 지역 KEDI 경영대학원 문맥이 일치한다. 영산대학교 공식 대학원 연혁은 경영대학원의 운영과 후속 통합 계보를 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
60,4197857260,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,한성대학교안전보건경영대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,18,798,17,폐과,산업보건공학과|안전보건경영학과|안전보건정책학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 1명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 한성대학교안전보건경영대학원 행과 핵심 수치가 일치한다. 산업보건공학과 등 3개 학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
61,4264510691,2012,2012,1,2013,unmatched,confirmed_identity_closed_school_residual_id,가천의과학대학교병원경영대학원,confirmed_unique_exact_department_signature_and_location,2012,확인 ID 3341381788 동일 학과서명|폐과,1,36,0,폐과,병원경영학전공|의료정보학전공,retain_duplicate_residual_open_id_separately_no_auto_join,"2012년 인천 연수구에서 병원경영학전공·의료정보학전공의 정확한 조합이 이름이 확인된 OpenID 3341381788과 일치하고, 후속 패널에서 두 학과는 폐과다. 동일 기관의 잔존 중복 ID로 신원은 확정하되 공식 키 승계표가 없으므로 자동 병합하지 않는다."
62,4500553667,2009,2009,1,2009,unmatched,confirmed_identity_historical_reorganization_predecessor_id,한국국제대학교 사회복지대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,21,325,11,폐과,사회복지학과,retain_predecessor_open_id_separately_no_auto_join,수동 전수검토에서 한국국제대학교 사회복지대학원으로 확정했다. KEDI의 한국국제대학교 0행 세 후보 중 학과명이 사회복지대학원을 직접 지시하고 후속 보건복지대학원에서 같은 학과가 확인됨. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
63,5181622326,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,숭실대학교산업기술정보대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,27,1708,33,폐과,뷰티산업학과|산업정보시스템공학과|전기공학과|전자및컴퓨터공학과|정보통신공학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 숭실대학교산업기술정보대학원으로 확정했다. KEDI 동일 대학원 폐교 0행이 핵심값과 일치하고 5개 학과의 산업·정보기술 조합이 다른 동작구 0행 후보를 배제. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
64,5183901667,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,서울장신대학교 목회상담대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,19,250,17,폐과,목회상담학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 1명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 서울장신대학교 목회상담대학원 행과 핵심 수치가 일치한다. 목회상담학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
65,5853597760,2009,2009,1,2009,unmatched,confirmed_identity_merger_residual_predecessor_id,밀양대학교산업대학원,confirmed_final_manual_review_identity,2009,폐교|2009 동일연도 KEDI 문맥|2006 부산대학교 통합,16,4155,0,기존,건축공학과|기계공학과|동물자원학과|생물공학과|식물자원학과|식품과학과|원예학과|응용고분자공학과,link_pusan_merger_history_keep_predecessor_open_id_separate_no_metric_join,최종 수동검토에서 밀양대학교산업대학원으로 확정했다. 2009년 8개 공학·농생명 학과와 KEDI 밀양대학교산업대학원 폐교 문맥이 부합한다. 부산대학교 공식 자료는 2006년 통합 뒤에도 밀양대학교 산업대학원 학과장 직함이 잔존한 이력을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
66,6363005578,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,서경대학교물류대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,28,693,35,폐과,물류학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 5명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 서경대학교물류대학원 행과 핵심 수치가 일치한다. 물류학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
67,6722269237,2011,2011,1,2011,unmatched,confirmed_identity_closed_school_residual_id,명지대학교 투자정보대학원,confirmed_kedi_metric_location_and_department_context,2011,폐교,26,336,29,기존,국제경영학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2011년 졸업생 1명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 명지대학교 투자정보대학원 행과 핵심 수치가 일치한다. 국제경영학과가 같은 OpenID에서 확인된다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
68,6891424894,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,한국교원대학교교육정책대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,32,838,29,폐과,교육정책학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 45명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 한국교원대학교교육정책대학원 행과 핵심 수치가 일치한다. 교육정책학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
69,7100761651,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,상명대학교 글로벌부동산대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,22,316,0,폐과,부동산학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 상명대학교 글로벌부동산대학원으로 확정했다. KEDI 동일 지역 폐교 0행 네 후보 중 기관명과 학과명이 직접 일치. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
70,7130860865,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,숭실대학교노사관계대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,29,1440,79,폐과,노동법학과|노사관계학과|노사조정학과|인력경영학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 9명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 숭실대학교노사관계대학원 행과 핵심 수치가 일치한다. 노동법·노사관계·노사조정·인력경영 학과는 모두 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
71,7238059103,2009,2009,1,2009,unmatched,confirmed_identity_closed_name_change_predecessor_id,국민대학교산업기술대학원,confirmed_kedi_metric_department_and_official_name_change,2009,폐교|2008-10 공학대학원으로 명칭변경,26,2345,197,폐과,건설시스템공학과|기계공학과|기계설계학과|산업기계공학과|신소재공학과|자동차공학과|전자정보통신공학과|컴퓨터공학과,link_successor_open_id_9552361845_keep_transition_metrics_separate,"2009년 EDSS 졸업생 수가 같은 지역 KEDI 국민대학교산업기술대학원 폐교 행과 일치하고, 8개 학과 집합은 후속 공학대학원 OpenID 9552361845와 정확히 같다. 국민대학교 공식 연혁은 2008-10 산업기술대학원을 공학대학원으로 명칭변경했다고 명시한다. 명칭변경 이력만 연결하고 전환기 실적은 두 ID에 분리 보존한다."
72,7737709581,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,강원대학교 방재기술전문대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,35,1528,6,폐과,광해?지반방재전공|광해ㆍ지반방재전공|도시?환경방재전공|도시ㆍ환경방재전공|방재설비전공|재해방재전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 강원대학교 방재기술전문대학원으로 확정했다. KEDI 제2캠퍼스 폐교 0행이 위치·캠퍼스·핵심값과 일치하고 공식 연혁의 동일 4개 전공이 확인됨. 본교 전신 OpenID 3386667668과 구분. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
73,7761588215,2012,2012,1,2013,unmatched,confirmed_identity_closed_name_change_predecessor_id,가천의과학대학교 임상약학대학원,confirmed_manual_reviewed_kedi_identity,2012,수동검토확정|KEDI·학과·공식이력 교차검증,1,18,0,폐과,임상약학전공,retain_duplicate_residual_open_id_separately_no_auto_join,수동 전수검토에서 가천의과학대학교 임상약학대학원으로 확정했다. KEDI의 가천대·가천의과학대 0행이 겹치지만 동일 학과서명이 확인 OpenID 1723327934와 정확히 일치하고 공식 연혁이 2012년 통합을 확인. 가천대학교 임상약학대학원은 후속 명칭으로 계보만 연결. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
74,8336962282,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,수원대학교음악테크놀로지대학원,confirmed_kedi_metric_and_exact_department_signature,2009,폐교|음악대학원 동일 학과서명,23,835,51,기존,뮤직테크놀로지학과|피아노교수학과,retain_closed_open_id_separately_no_successor_auto_join,"2009년 EDSS 졸업생 수가 같은 지역 KEDI 수원대학교음악테크놀로지대학원 폐교 행과 일치한다. 뮤직테크놀로지학과·피아노교수학과 조합은 음악대학원 OpenID 3225332260과 정확히 같지만, 공식 자료에서 두 대학원의 직접 OpenID 승계는 확인되지 않는다. 학교명은 확정하되 두 ID를 자동 조인하지 않는다."
75,8624691426,2009,2009,1,2009,unmatched,confirmed_identity_historical_reorganization_predecessor_id,한국국제대학교 경영행정대학원,confirmed_manual_reviewed_kedi_identity,2009,수동검토확정|KEDI·학과·공식이력 교차검증,19,802,11,폐과,경영학과|경찰행정학과|행정학과,retain_predecessor_open_id_separately_no_auto_join,수동 전수검토에서 한국국제대학교 경영행정대학원으로 확정했다. KEDI의 한국국제대학교 0행 세 후보 중 세 학과가 경영행정대학원을 직접 지시하고 후속 경영행정관광대학원에서 경영·행정학과가 확인됨. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
76,8625397384,2009,2009,1,2009,unmatched,confirmed_identity_merger_residual_predecessor_id,한국정보통신대학교 정보통신대학원,confirmed_kedi_metric_and_official_kaist_merger,2009,폐교|2009-03-01 KAIST 통합,16,519,99,폐과,IT경영학부|공학부,link_kaist_merger_history_keep_predecessor_open_id_separate_no_metric_join,2009년 EDSS의 졸업생 145명과 IT경영학부·공학부 폐과 기록이 같은 지역 KEDI 한국정보통신대학교 정보통신대학원 폐교 행과 일치한다. KAIST 공식 연혁은 2009-03-01 ICU 통합을 확인한다. 통합 이력만 연결하고 실적은 별도 보존한다.
77,8686164438,2010,2010,1,2010,unmatched,confirmed_identity_closed_campus_conversion_predecessor_id,한국폴리텍Ⅶ대학 거창캠퍼스,confirmed_final_graduation_department_and_official_conversion,2010,폐교|2010-03 한국승강기대학 신설,33,2113,227,폐과,산업디자인과|자동차 튜닝과|자동차정비검사과|전기계측제어과|전자과,link_site_conversion_open_id_9748064398_keep_entities_separate,2010년 EDSS에서 입학생·재적학생·교원·직원은 0이고 마지막 졸업생 69명(여성 14명)만 남아 있다. 산업디자인과·자동차 튜닝과·자동차정비검사과·전기계측제어과·전자과 등 5개 학과는 대학정보공시에서 모두 폐과로 표시된다. 거창군의회 공식 기록은 한국폴리텍Ⅶ대학 거창캠퍼스 재산의 무상 양도와 같은 부지에서 2010년 3월 한국승강기대학 개교를 확인한다. 신설 전문대학 OpenID 9748064398은 2010년 입학생 259명·재적학생 256명·졸업생 0명으로 별도 기관이므로 부지 전환 이력만 연결하고 두 ID는 별도 보존한다.
78,8713748276,2009,2009,1,2009,unmatched,confirmed_identity_closed_school_residual_id,남부대학교 경찰행정대학원,confirmed_kedi_metric_location_and_department_context,2009,폐교,27,734,14,폐과,국방정책학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2009년 졸업생 1명이 KEDI 폐교 행과 일치한다. 같은 연도·지역·학교유형의 KEDI 남부대학교 경찰행정대학원 행과 핵심 수치가 일치한다. 국방정책학과는 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
79,8947065591,2011,2011,1,2011,unmatched,confirmed_identity_merger_residual_predecessor_id,한북대학교 경영대학원,confirmed_final_manual_review_identity,2011,기존|2011 직원·경영학과 문맥|공식 개원·폐지 이력,27,340,28,신설,경영학과,link_shinhan_merger_history_keep_predecessor_open_id_separate_no_metric_join,최종 수동검토에서 한북대학교 경영대학원으로 확정했다. 2011년 경영학과와 KEDI 직원 수 문맥이 일치한다. 신한대학교 공식 연혁은 한북대학교 경영대학원 경영학과의 2010년 개원과 이후 폐지를 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
80,9032066404,2009,2009,1,2009,unmatched,confirmed_identity_name_change_predecessor_id,인천대학교산업대학원,confirmed_exact_metric_and_official_history,2009,기존|2009-06-26 공학대학원으로 명칭변경,37,3010,599,기존|변경|폐과,건축공학전공|기계공학전공|산업경영공학전공|산업디자인전공|섬유패션산업전공|신소재공학전공|안전환경시스템전공|전기공학전공,link_successor_open_id_8369060277_keep_predecessor_id_separate,"2009년 EDSS의 재적 62명·입학 35명·졸업 29명·학과 8개와 성별 세부값이 KEDI 인천대학교산업대학원 행에 정확히 일치한다. EDSS는 당시 행정구역명인 인천 남구, KEDI 파일은 인천 미추홀구를 사용해 자동 매칭이 실패했다. 인천대학교 공식 연혁의 2009-06-26 산업대학원→공학대학원 명칭변경과 2010년부터의 후속 OpenID 8369060277을 연결하되 두 ID는 별도 보존한다."
